timestamp,activeAccountCount
1761955200000,8398
1761868800000,8522
1761782400000,7781
1761696000000,37546
1761609600000,7317
1761523200000,8548
1761436800000,8425
1761350400000,6665
1761264000000,6613
1761177600000,7646
1761091200000,7546
1761004800000,7059
1760918400000,7518
1760832000000,6931
1760745600000,6764
1760659200000,7323
1760572800000,6951
1760486400000,10810
1760400000000,8291
1760313600000,8928
1760227200000,9117
1760140800000,10042
1760054400000,11866
1759968000000,9781
1759881600000,10765
1759795200000,9270
1759708800000,10130
1759622400000,10815
1759536000000,8812
1759449600000,9650
1759363200000,14732
1759276800000,12876
1759190400000,9701
1759104000000,8557
1759017600000,8134
1758931200000,7440
1758844800000,7596
1758758400000,8632
1758672000000,9396
1758585600000,12443
1758499200000,14554
1758412800000,10872
1758326400000,9050
1758240000000,10998
1758153600000,10662
1758067200000,8238
1757980800000,10094
1757894400000,9457
1757808000000,8804
1757721600000,10746
1757635200000,9840
1757548800000,9211
1757462400000,10550
1757376000000,10352
1757289600000,9762
1757203200000,8811
1757116800000,9129
1757030400000,9682
1756944000000,8650
1756857600000,8787
1756771200000,8708
1756684800000,10154
1756598400000,9760
1756512000000,7608
1756425600000,7758
1756339200000,9771
1756252800000,9961
1756166400000,9510
1756080000000,9662
1755993600000,9556
1755907200000,14860
1755820800000,12126
1755734400000,11070
1755648000000,7695
1755561600000,8295
1755475200000,13262
1755388800000,10635
1755302400000,9124
1755216000000,8566
1755129600000,12103
1755043200000,14868
1754956800000,11442
1754870400000,10280
1754784000000,9739
1754697600000,11233
1754611200000,10272
1754524800000,8958
1754438400000,8819
1754352000000,8450
1754265600000,8681
1754179200000,8510
1754092800000,7721
1754006400000,12438
1753920000000,10715
1753833600000,8700
1753747200000,10687
1753660800000,11224
1753574400000,11054
1753488000000,9389
1753401600000,7933
1753315200000,8330
1753228800000,11154
1753142400000,11042
1753056000000,15617
1752969600000,15630
1752883200000,9331
1752796800000,13933
1752710400000,11087
1752624000000,12058
1752537600000,9511
1752451200000,12027
1752364800000,10679
1752278400000,9511
1752192000000,17025
1752105600000,11853
1752019200000,10092
1751932800000,10002
1751846400000,10475
1751760000000,8086
1751673600000,6527
1751587200000,8834
1751500800000,9727
1751414400000,9031
1751328000000,10017
1751241600000,11409
1751155200000,9473
1751068800000,7415
1750982400000,8865
1750896000000,7590
1750809600000,10429
1750723200000,10062
1750636800000,8342
1750550400000,7973
1750464000000,7130
1750377600000,7070
1750291200000,7681
1750204800000,8172
1750118400000,8313
1750032000000,8914
1749945600000,7185
1749859200000,6503
1749772800000,7256
1749686400000,7349
1749600000000,9181
1749513600000,12170
1749427200000,10507
1749340800000,8529
1749254400000,9616
1749168000000,9581
1749081600000,10128
1748995200000,10343
1748908800000,11785
1748822400000,12192
1748736000000,14549
1748649600000,11806
1748563200000,9363
1748476800000,10217
1748390400000,10472
1748304000000,12738
1748217600000,11334
1748131200000,10410
1748044800000,8780
1747958400000,10712
1747872000000,13240
1747785600000,11865
1747699200000,10066
1747612800000,10199
1747526400000,11173
1747440000000,8748
1747353600000,9259
1747267200000,14326
1747180800000,14792
1747094400000,17023
1747008000000,15165
1746921600000,16646
1746835200000,19366
1746748800000,16177
1746662400000,15689
1746576000000,12259
1746489600000,10070